[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] ROW被过滤 - 过滤器: filter_header, 文本: '语文·六年级上册', 坐标: (1395, 270), 尺寸: 450x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1783, 2959), 尺寸: 52x48
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '0', 坐标: (531, 592), 尺寸: 27x24
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '8', 坐标: (1212, 688), 尺寸: 20x23
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '5', 坐标: (1173, 1063), 尺寸: 24x30
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '17', 坐标: (1686, 1152), 尺寸: 143x43
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '23', 坐标: (1760, 1335), 尺寸: 71x46
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '26', 坐标: (1755, 1426), 尺寸: 75x46
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '30', 坐标: (1152, 1685), 尺寸: 80x47
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '10', 坐标: (580, 1776), 尺寸: 54x43
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '11', 坐标: (577, 1867), 尺寸: 57x43
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '40', 坐标: (1782, 2252), 尺寸: 41x30
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1769, 2336), 尺寸: 60x49
[FILTER_LOG] BOX被过滤 - 过滤器: filter_page_number, 文本: '46', 坐标: (1771, 2427), 尺寸: 58x52
